productid,avg_score,num_reviews
B0000AH3R1,5.0,2
B0000AH3RM,4.833333333333333,6
B0000AH3RP,3.3333333333333335,3
B0000AH3RR,3.75,4
B0000AH3UI,5.0,1
B0000AH3UK,4.764705882352941,17
B0000AH9XL,5.0,3
B0000AH9XO,5.0,1
B0000AHA22,5.0,2
B0000AJ0PQ,3.0,1
B0000BXJIO,4.5,8
B0000BXJIS,5.0,5
B0000BXJIU,4.333333333333333,3
B0000BXJO8,4.0,6
B0000BYDG9,2.3333333333333335,3
B0000BYSQ0,4.0,4
B0000C69FB,4.7727272727272725,22
B0000C69FI,4.5,2
B0000C69FP,5.0,1
B0000CA4TK,5.0,6
B0000CAV3A,5.0,2
B0000CAV3B,4.0,1
B0000CAV3C,5.0,3
B0000CAV3W,5.0,1
B0000CAV3Y,4.0,1
B0000CCZV6,5.0,1
B0000CCZYY,5.0,5
B0000CD019,4.0,1
B0000CD06J,3.88,25
B0000CD9PL,5.0,1
B0000CD9PM,5.0,1
B0000CD9TF,3.5,4
B0000CD9TH,5.0,1
B0000CD9V4,3.5,4
B0000CDAY2,4.769230769230769,13
B0000CDBPL,5.0,2
B0000CDBPT,5.0,7
B0000CDBPV,4.75,4
B0000CDBPW,5.0,7
B0000CDBPX,5.0,7
B0000CDBPZ,5.0,1
B0000CDBQB,5.0,4
B0000CDBQD,5.0,4
B0000CDBQF,3.7,10
B0000CDBQI,5.0,2
B0000CDBQL,5.0,10
B0000CDBQN,5.0,9
B0000CDBQO,4.5,2
B0000CDBQP,5.0,1
B0000CDBQS,5.0,5
B0000CDBQT,5.0,5
B0000CDBQZ,4.0,3
B0000CDBR7,5.0,1
B0000CDBR9,4.875,8
B0000CDBRA,4.875,8
B0000CDBRG,5.0,3
B0000CDBRH,5.0,3
B0000CDBRJ,5.0,7
B0000CDBRK,5.0,7
B0000CDBRM,4.777777777777778,18
B0000CDBRN,4.777777777777778,18
B0000CDBRP,5.0,9
B0000CDBRQ,5.0,9
B0000CDBRU,4.571428571428571,7
B0000CDBRV,4.571428571428571,7
B0000CDBRY,4.5,8
B0000CDBRZ,4.5,8
B0000CDEPD,4.0,3
B0000CDEQM,5.0,2
B0000CDHN8,4.0,2
B0000CE29E,5.0,2
B0000CE3WE,3.0,1
B0000CEO7A,4.5,2
B0000CEOKH,5.0,3
B0000CEPDP,4.1521739130434785,46
B0000CEPED,3.2580645161290325,31
B0000CEQ6H,5.0,2
B0000CEQ6I,5.0,1
B0000CEQ72,5.0,1
B0000CEQ9T,3.0,2
B0000CEQAA,5.0,1
B0000CEQD5,5.0,4
B0000CEQUJ,5.0,1
B0000CEQY4,4.0,4
B0000CEQZL,4.0,1
B0000CEQZS,3.0,2
B0000CER0J,5.0,3
B0000CER3Z,5.0,1
B0000CER6R,4.333333333333333,3
B0000CER6Z,5.0,1
B0000CER9K,4.75,4
B0000CER9W,4.0,1
B0000CERBL,5.0,1
B0000CERCD,4.666666666666667,3
B0000CERDY,5.0,1
B0000CERHH,5.0,3
B0000CERIH,5.0,3
B0000CERIV,5.0,2
B0000CERJ5,3.5,2
B0000CERPU,4.0,1
B0000CERPY,3.0,2
B0000CERTG,5.0,1
B0000CERVY,5.0,4
B0000CERXB,5.0,2
B0000CERXU,4.75,4
B0000CERYI,4.5,2
B0000CERZK,4.2,5
B0000CERZN,3.2222222222222223,9
B0000CES0O,4.7,20
B0000CET6I,3.0,2
B0000CEU6P,3.5,14
B0000CEU6T,3.5,14
B0000CEU7D,3.5,14
B0000CEU7J,3.5,14
B0000CEU8V,1.0,1
B0000CEUAL,5.0,1
B0000CEUDZ,5.0,1
B0000CEUFI,3.0,1
B0000CF4VF,4.0,2
B0000CF8T1,4.2,30
B0000CF90P,3.5,2
B0000CFH1O,4.0,1
B0000CFH6P,3.5,2
B0000CFH7B,2.0,4
B0000CFMU3,5.0,3
B0000CFN0Y,4.288461538461538,52
B0000CFNGU,4.25,4
B0000CFP3T,5.0,2
B0000CFPI2,4.714285714285714,35
B0000CFSL8,4.25,4
B0000CFXYA,3.5,18
B0000CFXYG,5.0,1
B0000CFYH1,5.0,1
B0000CFYHJ,5.0,3
B0000CG4I0,4.166666666666667,12
B0000CGDUK,3.5,14
B0000CGE1S,5.0,3
B0000CGE3G,4.5,2
B0000CGE3R,4.333333333333333,3
B0000CGEJH,3.0,2
B0000CGFCD,5.0,1
B0000CGFCQ,5.0,1
B0000CGFEB,5.0,1
B0000CGFFI,1.0,1
B0000CGFG1,5.0,3
B0000CGFGS,5.0,2
B0000CGFH6,5.0,4
B0000CGFSC,5.0,1
B0000CGFV4,5.0,1
B0000CH39R,3.5,14
B0000CH39S,3.5,14
B0000CH3AU,3.4,5
B0000CH3EB,5.0,2
B0000CH4F7,4.75,4
B0000CH4FA,4.0,4
B0000CH4FN,5.0,1
B0000CH4FX,5.0,1
B0000CH4G5,4.0,1
B0000CH4GF,5.0,1
B0000CH4GM,5.0,2
B0000CNTZI,4.428571428571429,7
B0000CNTZK,5.0,1
B0000CNTZL,5.0,1
B0000CNTZZ,2.5,2
B0000CNU07,2.0,2
B0000CNU0A,4.333333333333333,3
B0000CNU0B,5.0,1
B0000CNU0C,1.0,2
B0000CNU0N,3.0,2
B0000CNU0R,2.5,2
B0000CNU0V,5.0,1
B0000CNU0W,3.0,2
B0000CNU15,5.0,2
B0000CNU18,4.5,2
B0000CNU1A,1.0,1
B0000CNU1J,5.0,1
B0000CNU1O,5.0,1
B0000CNU1S,4.428571428571429,7
B0000CNU1X,4.625,8
B0000CNU28,5.0,1
B0000CNU2B,2.5,4
B0000CNU2H,4.333333333333333,3
B0000CNU2J,2.2,5
B0000CNU2K,5.0,4
B0000CNU2Q,4.0,4
B0000CNU2W,2.8,5
B0000CNU3F,5.0,2
B0000CNU3J,5.0,1
B0000CNU3M,2.5,2
B0000CNU3P,2.0,1
B0000CNU3R,3.0,2
B0000CNU4D,4.5,2
B0000CNU4J,4.0,1
B0000CNU4K,3.0,2
B0000CNU51,4.666666666666667,3
B0000CNU58,5.0,2
B0000CNU59,5.0,9
B0000CNU5A,5.0,3
